#hgnc_id	hgnc_symbol	disease_associated_transcripts	reduced_penetrance	mosaicism	database_entry_version
34	ABCA4				
216	ADAM9				
13839	ADGRA3				
24040	ADIPOR1				
26147	AGBL5				
348	AHR				
359	AIPL1				
17090	ARHGEF18				
17146	ARL2BP				
694	ARL3				
13210	ARL6				
791	ATF6				
966	BBS1				
967	BBS2				
12703	BEST1				
14344	C1QTNF5				
27232	CFAP418				
1375	CA4				
1386	CABP4				
1393	CACNA1F				
20202	CACNA2D4				
1615	CCT2				
14550	CDHR1				
25740	CEP78				
1859	CEP250				
29021	CEP290				
21699	CERKL				
1260	CFAP410				
4883	CFH				
29675	CLCC1				
12605	CLRN1				
19009	CLUAP1				
2148	CNGA1				
2150	CNGA3				
2151	CNGB1				
2153	CNGB3				
105	CNNM4				
2186	COL11A1				
2343	CRB1				
2383	CRX				
2509	CTNNA1				
23198	CYP4V2				
20603	DHDDS				
17211	DHX38				
28769	DRAM2				
37261	DTHD1				
3218	EFEMP1				
14415	ELOVL4				
28957	EMC1				
21555	EYS				
25808	FAM161A				
3960	FSCN2				
4221	GDF6				
4393	GNAT1				
4394	GNAT2				
4400	GNB3				
31371	GPR179				
10013	GRK1				
4598	GRM6				
4678	GUCA1A				
4679	GUCA1B				
4689	GUCY2D				
26527	HGSNAT				
4922	HK1				
19194	HMCN1				
5385	IDH3B				
14313	IFT81				
29077	IFT140				
30391	IFT172				
6052	IMPDH1				
6055	IMPG1				
18362	IMPG2				
28949	IQCB1				
6259	KCNJ13				
19698	KCNV2				
22219	KIAA1549				
15865	KIZ				
15646	KLHL7				
31923	LCA5				
6685	LRAT				
24783	LRIT3				
6816	MAK				
7027	MERTK				
28486	MFSD8				
7530	MVK				
7745	NEK2				
7762	NEUROD1				
17877	NMNAT1				
7974	NR2E3				
8002	NRL				
8082	NYX				
2567	OFD1				
8522	OTX2				
34383	PCARE				
8785	PDE6A				
8786	PDE6B				
8787	PDE6C				
8789	PDE6G				
8790	PDE6H				
21043	PITPNM3				
30836	POC1B				
19139	POMGNT1				
32528	PRCD				
13998	PRDM13				
9454	PROM1				
17348	PRPF3				
17349	PRPF4				
15860	PRPF6				
17340	PRPF8				
15446	PRPF31				
9942	PRPH2				
9768	RAB28				
18286	RAX2				
9921	RBP3				
19689	RD3				
9940	RDH5				
19977	RDH12				
30078	REEP6				
9990	RGR				
10012	RHO				
17282	RIMS1				
10024	RLBP1				
10254	ROM1				
10263	RP1				
15946	RP1L1				
10274	RP2				
10288	RP9				
10294	RPE65				
10295	RPGR				
13436	RPGRIP1				
10521	SAG				
28706	SAMD11				
10729	SEMA4A				
29326	SLC7A14				
10975	SLC24A1				
30859	SNRNP200				
20423	SPATA7				
11256	SPP2				
11822	TIMP3				
21653	TOPORS				
17341	TRNT1				
7146	TRPM1				
20087	TTC8				
19963	TTLL5				
12423	TULP1				
12565	UNC119				
12601	USH2A				
20041	ZNF408				
26498	ZNF513				
